Year,County,NCICCode,Violent_sum,Homicide_sum,ForRape_sum,Robbery_sum,AggAssault_sum,Property_sum,Burglary_sum,VehicleTheft_sum,LTtotal_sum,ViolentClr_sum,HomicideClr_sum,ForRapeClr_sum,RobberyClr_sum,AggAssaultClr_sum,PropertyClr_sum,BurglaryClr_sum,VehicleTheftClr_sum,LTtotalClr_sum,TotalStructural_sum,TotalMobile_sum,TotalOther_sum,GrandTotal_sum,GrandTotClr_sum,RAPact_sum,ARAPact_sum,FROBact_sum,KROBact_sum,OROBact_sum,SROBact_sum,HROBnao_sum,CHROBnao_sum,GROBnao_sum,CROBnao_sum,RROBnao_sum,BROBnao_sum,MROBnao_sum,FASSact_sum,KASSact_sum,OASSact_sum,HASSact_sum,FEBURact_Sum,UBURact_sum,RESDBUR_sum,RNBURnao_sum,RDBURnao_sum,RUBURnao_sum,NRESBUR_sum,NNBURnao_sum,NDBURnao_sum,NUBURnao_sum,MVTact_sum,TMVTact_sum,OMVTact_sum,PPLARnao_sum,PSLARnao_sum,SLLARnao_sum,MVLARnao_sum,MVPLARnao_sum,BILARnao_sum,FBLARnao_sum,COMLARnao_sum,AOLARnao_sum,LT400nao_sum,LT200400nao_sum,LT50200nao_sum,LT50nao_sum
2004,Alameda County,Alameda Co. Sheriff's Department,461,5,29,174,253,3351,731,947,1673,170,5,4,43,118,275,58,129,88,7,23,3,33,4,27,2,53,17,9,95,81,19,6,13,17,13,25,17,35,132,69,436,295,538,131,252,155,193,76,33,84,879,2,66,14,14,76,1048,56,54,192,5,214,681,301,308,383
2004,Alameda County,Alameda,342,1,12,89,240,2231,376,333,1522,244,1,8,45,190,330,65,57,208,5,1,9,15,5,12,0,18,4,11,56,49,14,0,3,9,4,10,8,23,86,123,183,193,213,40,67,106,163,31,18,114,250,59,24,0,1,176,652,14,176,172,8,323,371,274,336,541
2004,Alameda County,Albany,42,1,3,29,9,718,130,142,446,10,0,1,3,6,53,24,2,27,3,0,5,8,0,3,0,9,1,1,18,21,1,0,1,2,3,1,0,3,4,2,61,69,73,11,60,2,57,25,31,1,116,21,5,1,2,27,229,31,47,60,1,48,76,101,120,149
2004,Alameda County,Berkeley,557,4,17,355,181,8611,1382,1128,6101,169,1,6,72,90,484,58,27,399,21,21,17,59,15,12,5,126,20,71,138,201,58,6,2,24,22,42,15,16,73,77,748,634,962,225,418,319,420,171,112,137,849,169,110,22,34,376,2373,1097,374,539,7,1279,1257,1124,1178,2542
2004,Alameda County,Emeryville,83,2,4,53,24,1066,94,228,744,15,1,0,8,6,169,14,4,151,0,1,0,1,0,4,0,13,6,1,33,33,11,2,1,1,0,5,4,0,9,11,61,33,36,8,25,3,58,40,14,4,182,33,13,17,2,194,219,122,35,44,0,111,254,110,141,239
2004,Alameda County,Fremont,454,5,24,165,260,5723,939,881,3903,232,2,18,51,161,697,84,135,478,8,10,3,21,5,23,1,64,22,6,73,89,19,3,28,2,12,12,19,56,120,65,698,241,593,106,313,174,346,76,34,236,719,95,67,3,26,391,2269,325,79,266,13,531,1298,663,738,1204
2004,Alameda County,Hayward,588,9,30,290,259,5043,863,1696,2484,180,2,6,75,97,636,84,114,438,19,30,0,49,2,30,0,109,23,13,145,159,51,14,13,24,11,18,33,44,108,74,632,231,424,176,248,0,439,341,87,11,1500,142,54,0,4,713,699,556,58,424,0,30,574,630,762,518
2004,Alameda County,Livermore,140,2,18,25,95,1880,425,260,1195,53,2,6,7,38,128,41,8,79,4,1,14,19,1,16,2,6,3,1,15,2,3,3,4,0,1,12,3,21,42,29,239,186,213,82,66,65,212,108,31,73,171,62,27,7,3,100,487,198,75,129,6,190,423,199,223,350
2004,Alameda County,Newark,142,0,8,56,78,2049,294,301,1454,55,0,5,18,32,494,76,37,381,1,2,3,6,0,8,0,13,4,12,27,11,18,1,1,4,3,18,11,9,34,24,151,143,81,26,51,4,213,90,116,7,210,43,48,1,1,356,725,43,30,75,0,223,432,220,334,468
2004,Alameda County,Oakland,5151,83,262,2190,2616,22185,4324,6877,10984,1495,29,70,314,1082,1053,173,291,589,97,159,10,266,4,240,22,769,123,159,1139,1417,148,71,62,148,40,304,458,399,629,1130,2853,1471,2653,564,1494,595,1671,554,462,655,6193,436,248,156,206,477,3149,2237,133,1119,15,3492,2109,1136,1138,6601
2004,Alameda County,Piedmont,1,0,0,1,0,318,66,77,175,1,0,0,1,0,7,2,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,34,32,58,5,34,19,8,3,2,3,76,0,1,0,0,1,128,6,5,14,0,21,76,38,24,37
2004,Alameda County,Pleasanton,90,0,12,22,56,1886,272,181,1433,69,0,11,13,45,526,43,28,455,5,5,10,20,3,9,3,5,2,4,11,5,7,1,1,2,1,5,2,8,23,23,148,124,136,43,49,44,136,87,19,30,113,43,25,0,1,425,484,52,39,294,12,126,496,285,355,297
2004,Alameda County,San Leandro,489,4,27,181,277,3876,603,970,2303,188,1,6,45,136,741,40,22,679,6,4,2,12,3,23,4,45,9,24,103,33,19,3,18,5,7,96,16,64,92,105,451,152,260,58,144,58,343,151,67,125,835,74,61,14,11,727,853,33,42,273,12,338,607,458,815,423
2004,Alameda County,Union City,348,1,13,157,177,2689,538,577,1574,110,0,1,26,83,401,30,23,348,6,6,2,14,2,13,0,48,11,7,91,53,21,6,14,6,6,51,15,50,85,27,343,195,392,0,81,311,146,0,19,127,534,22,21,7,20,353,570,229,33,105,0,257,439,186,262,687
2004,Alameda County,Alameda E. Bay Reg. Park Dist.,7,0,2,0,5,131,16,9,106,3,0,1,0,2,6,0,1,5,0,1,8,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,15,1,2,0,0,2,14,4,1,9,7,0,2,1,0,0,84,0,0,4,3,14,27,21,16,42
2004,Alameda County,CSU East Bay,1,0,0,1,0,149,14,13,122,0,0,0,0,0,19,1,5,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,10,4,1,1,0,0,13,0,11,2,13,0,0,1,1,0,45,3,1,52,0,19,37,26,24,35
2004,Alameda County,Union Pacific RR - Alameda,8,0,0,0,8,532,526,0,6,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,526,0,0,0,0,0,526,140,384,2,0,0,0,0,0,0,0,0,0,1,0,5,4,1,0,1
2004,Alameda County,Alameda BART,101,0,0,96,5,1252,4,304,944,16,0,0,12,4,51,0,5,46,0,1,0,1,0,0,0,13,5,7,71,0,0,0,0,0,0,96,0,3,2,0,2,2,0,0,0,0,4,1,0,3,264,38,2,3,25,0,439,108,188,0,1,180,176,137,541,90
2004,Alameda County,UC Lawrence-Livermore,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,2,2,0
2004,Alameda County,Dublin,83,0,8,14,61,806,136,142,528,17,0,0,0,17,58,10,2,46,1,0,2,3,1,6,2,2,1,2,9,0,0,0,0,1,2,11,0,6,11,44,82,54,49,9,21,19,87,48,18,21,120,7,15,4,2,125,222,10,19,78,11,57,228,90,117,93
2004,Alameda County,Alameda E. Bay Mun. Util. Dist.,0,0,0,0,0,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,3,7,6,7,12
2004,Alameda County,UC Berkeley,25,0,3,6,16,975,91,31,853,14,0,1,1,12,41,4,2,35,4,0,1,5,0,3,0,0,1,0,5,0,0,0,0,0,0,6,0,0,9,7,47,44,4,1,0,3,87,39,16,32,19,2,10,3,0,5,82,2,224,454,5,78,191,185,249,228
