No NAME  	GMS  	PTS  	REB   	AST  	TO  	A/T  	STL  	BLK  	PF  	FG  	FT  	3P
1. NorthCarolina	6	84.2	41.5	17.8	12.8	1.39	6.7	3.8	16.7	.514	.664	.417
2. Illinois	6	74.5	34.0	19.0	10.2	1.87	8.0	1.7	16.5	.457	.753	.361
3. Louisville	5	77.4	35.4	13.6	11.0	1.24	5.4	4.2	16.6	.479	.702	.376
4. MichiganState	5	80.8	37.8	13.0	12.6	1.03	8.4	2.4	19.8	.445	.783	.329
5. Arizona	4	79.8	35.0	15.8	14.5	1.09	6.0	6.5	13.3	.542	.759	.397
6. Kentucky	4	72.8	32.3	12.8	13.5	0.94	7.3	3.5	19.5	.510	.663	.400
7. Wisconsin	4	68.8	31.0	13.0	11.3	1.16	3.8	0.8	14.0	.467	.753	.429
8. WestVirginia	4	81.0	28.5	19.0	14.8	1.29	6.8	3.5	18.8	.509	.762	.467
9. Duke	3	62.7	36.0	8.3	15.3	0.54	8.0	4.7	19.7	.407	.716	.328
10. NorthCarolinaState	3	65.3	26.7	13.0	14.0	0.93	11.3	5.7	17.7	.409	.827	.377
11. OklahomaState	3	75.3	29.0	16.0	13.0	1.23	8.0	0.3	17.7	.483	.827	.476
12. Villanova	3	65.7	41.3	8.7	14.3	0.60	9.3	4.3	19.7	.360	.692	.279
13. Utah	3	59.7	34.7	13.3	16.7	0.80	4.7	2.0	17.3	.472	.579	.357
14. Washington	3	88.0	33.3	17.0	11.3	1.50	6.7	1.3	19.7	.508	.696	.358
15. Wisconsin-Milwaukee	3	76.3	27.7	16.3	11.7	1.40	7.0	3.0	18.7	.457	.750	.405
16. TexasTech	3	69.7	32.7	16.3	12.3	1.32	8.3	1.3	14.3	.509	.646	.308
17. UAB	2	72.5	33.5	15.0	14.5	1.03	8.5	2.0	22.5	.390	.667	.283
18. Connecticut	2	69.5	37.0	13.0	13.5	0.96	5.0	5.0	14.5	.464	.744	.250
19. Florida	2	66.0	33.0	12.0	17.5	0.69	8.5	6.0	25.5	.387	.818	.341
20. GeorgiaTech	2	67.0	32.0	11.0	12.0	0.92	8.5	1.5	21.5	.440	.781	.406
21. IowaState	2	64.5	43.0	15.5	15.0	1.03	10.0	5.0	20.0	.391	.528	.286
22. SouthernIllinois	2	71.0	30.5	13.0	10.5	1.24	8.0	1.0	25.0	.410	.818	.323
23. BostonCollege	2	80.0	38.5	20.0	20.5	0.98	7.0	4.0	18.0	.520	.700	.522
24. WakeForest	2	87.5	41.5	19.5	16.5	1.18	8.5	2.5	20.0	.465	.667	.333
25. Oklahoma	2	71.0	40.5	9.5	10.5	0.90	8.5	3.0	19.0	.393	.794	.156
