DATE	FYGM3	FYGM6	FYGT1	FYGT2	FYGT3	FYGT5	FYGT7	FYGT10
Jun-76	5.41	5.77	6.52	7.06	7.31	7.61	7.75	7.86
Jul-76	5.23	5.53	6.2	6.85	7.12	7.49	7.7	7.83
Aug-76	5.14	5.4	6	6.63	6.86	7.31	7.58	7.77
Sep-76	5.08	5.3	5.84	6.42	6.66	7.13	7.41	7.59
Oct-76	4.92	5.06	5.5	5.98	6.24	6.75	7.16	7.41
Nov-76	4.75	4.88	5.29	5.81	6.09	6.52	6.86	7.29
Dec-76	4.35	4.51	4.89	5.38	5.68	6.1	6.37	6.87
Jan-77	4.62	4.83	5.29	5.9	6.22	6.58	6.92	7.21
Feb-77	4.67	4.9	5.47	6.09	6.44	6.83	7.16	7.39
Mar-77	4.6	4.88	5.5	6.09	6.47	6.93	7.2	7.46
Apr-77	4.54	4.8	5.44	5.96	6.31	6.79	7.11	7.37
May-77	4.96	5.2	5.84	6.25	6.55	6.94	7.26	7.46
Jun-77	5.02	5.21	5.8	6.13	6.39	6.76	7.05	7.28
Jul-77	5.19	5.4	5.94	6.27	6.51	6.84	7.12	7.33
Aug-77	5.49	5.83	6.37	6.61	6.79	7.03	7.24	7.4
Sep-77	5.81	6.04	6.53	6.71	6.84	7.04	7.21	7.34
Oct-77	6.16	6.43	6.97	7.11	7.19	7.32	7.44	7.52
Nov-77	6.1	6.41	6.95	7.14	7.22	7.34	7.46	7.58
Dec-77	6.07	6.4	6.96	7.18	7.3	7.48	7.59	7.69
Jan-78	6.44	6.7	7.28	7.49	7.61	7.77	7.86	7.96
Feb-78	6.45	6.74	7.34	7.57	7.67	7.83	7.94	8.03
Mar-78	6.29	6.63	7.31	7.58	7.7	7.86	7.95	8.04
Apr-78	6.29	6.73	7.45	7.74	7.85	7.98	8.06	8.15
May-78	6.41	7.02	7.82	8.01	8.07	8.18	8.25	8.35
Jun-78	6.73	7.23	8.09	8.24	8.3	8.36	8.4	8.46
Jul-78	7.01	7.44	8.39	8.49	8.54	8.54	8.55	8.64
Aug-78	7.08	7.37	8.31	8.37	8.33	8.33	8.38	8.41
Sep-78	7.85	7.99	8.64	8.57	8.41	8.43	8.42	8.42
Oct-78	7.99	8.55	9.14	8.85	8.62	8.61	8.64	8.64
Nov-78	8.64	9.24	10.01	9.42	9.04	8.84	8.8	8.81
Dec-78	9.08	9.36	10.3	9.72	9.33	9.08	9.03	9.01
Jan-79	9.35	9.47	10.41	9.86	9.5	9.2	9.14	9.1
Feb-79	9.32	9.41	10.24	9.72	9.29	9.13	9.11	9.1
Mar-79	9.48	9.47	10.25	9.79	9.38	9.2	9.15	9.12
Apr-79	9.46	9.49	10.12	9.78	9.43	9.25	9.21	9.18
May-79	9.61	9.54	10.12	9.78	9.42	9.24	9.23	9.25
Jun-79	9.06	9.06	9.57	9.22	8.95	8.85	8.86	8.91
Jul-79	9.24	9.24	9.64	9.14	8.94	8.9	8.92	8.95
Aug-79	9.52	9.49	9.98	9.46	9.14	9.06	9.05	9.03
Sep-79	10.26	10.2	10.84	10.06	9.69	9.41	9.38	9.33
Oct-79	11.7	11.66	12.44	11.49	10.95	10.63	10.47	10.3
Nov-79	11.79	11.82	12.39	11.81	11.18	10.93	10.8	10.65
Dec-79	12.04	11.84	11.98	11.39	10.71	10.42	10.42	10.39
Jan-80	12	11.84	12.06	11.5	10.88	10.74	10.77	10.8
Feb-80	12.86	12.86	13.92	13.42	12.84	12.6	12.53	12.41
Mar-80	15.2	15.03	15.82	14.88	14.05	13.47	13	12.75
Apr-80	13.2	12.88	13.3	12.5	12.02	11.84	11.49	11.47
May-80	8.58	8.65	9.39	9.45	9.44	9.95	10.09	10.18
Jun-80	7.07	7.3	8.16	8.73	8.91	9.21	9.45	9.78
Jul-80	8.06	8.06	8.65	9.03	9.27	9.53	9.84	10.25
Aug-80	9.13	9.41	10.24	10.53	10.63	10.84	10.95	11.1
Sep-80	10.27	10.57	11.52	11.57	11.57	11.62	11.57	11.51
Oct-80	11.62	11.63	12.49	12.09	12.01	11.86	11.79	11.75
Nov-80	13.73	13.5	14.15	13.51	13.31	12.83	12.71	12.68
Dec-80	15.49	14.64	14.88	14.08	13.65	13.25	13	12.84
Jan-81	15.02	14.08	14.08	13.26	13.01	12.77	12.66	12.57
Feb-81	14.79	14.05	14.57	13.92	13.65	13.41	13.28	13.19
Mar-81	13.36	12.81	13.71	13.57	13.51	13.41	13.24	13.12
Apr-81	13.69	13.45	14.32	14.15	14.09	13.99	13.85	13.68
